FR_nm,stress_GPa,STE,gmSat_S_per_um,IdSat_norm,SSlin_mV_per_dec,DIBL_mV_per_V,Ioff_norm
0,-2.262,0.598,1.060e-4,5.57e-4,78.5,78.7,2.41e-10
10,-2.449,0.648,1.128e-4,6.10e-4,80.2,85.3,3.39e-10
15,-2.493,0.660,1.143e-4,6.29e-4,82.2,90.7,5.26e-10
20,-2.521,0.667,1.149e-4,6.41e-4,84.7,97.3,9.68e-10
22,-2.525,0.668,1.131e-4,6.37e-4,87.5,100.0,1.93e-9
30,-2.532,0.670,1.134e-4,6.47e-4,100.6,116.0,2.41e-8
35,-2.525,0.668,1.131e-4,6.50e-4,112.9,129.3,1.05e-7
